iter	Passed	Remaining
0	137	68839
1	141	35305
2	146	24288
3	150	18689
4	153	15181
5	158	13090
6	161	11374
7	163	10068
8	165	9038
9	168	8240
10	171	7613
11	174	7108
12	176	6626
13	179	6214
14	181	5872
15	184	5573
16	187	5321
17	190	5106
18	195	4961
19	197	4751
20	201	4587
21	205	4456
22	209	4349
23	212	4207
24	214	4073
25	216	3949
26	219	3839
27	221	3735
28	225	3657
29	227	3565
30	230	3481
31	233	3419
32	237	3355
33	240	3290
34	242	3225
35	245	3165
36	249	3116
37	252	3069
38	256	3033
39	260	2994
40	262	2941
41	265	2894
42	268	2850
43	270	2803
44	272	2759
45	275	2715
46	277	2674
47	280	2643
48	284	2614
49	287	2589
50	289	2551
51	292	2517
52	294	2486
53	297	2460
54	300	2435
55	304	2410
56	307	2391
57	310	2363
58	312	2337
59	315	2313
60	317	2286
61	319	2260
62	322	2239
63	324	2213
64	327	2190
65	329	2169
66	334	2160
67	337	2142
68	339	2123
69	342	2101
70	346	2091
71	349	2076
72	352	2061
73	356	2053
74	360	2043
75	364	2033
76	366	2013
77	368	1993
78	371	1979
79	373	1961
80	376	1948
81	378	1931
82	380	1912
83	382	1894
84	385	1884
85	389	1875
86	393	1866
87	396	1854
88	398	1840
89	400	1823
90	403	1812
91	407	1805
92	410	1797
93	413	1785
94	415	1772
95	418	1759
96	422	1754
97	424	1741
98	426	1728
99	429	1717
100	431	1706
101	436	1702
102	439	1694
103	442	1683
104	444	1670
105	446	1661
106	450	1653
107	452	1641
108	454	1629
109	457	1621
110	460	1612
111	462	1601
112	464	1589
113	468	1584
114	471	1577
115	473	1567
116	475	1557
117	478	1548
118	480	1538
119	484	1533
120	486	1523
121	489	1515
122	491	1506
123	494	1499
124	497	1491
125	499	1481
126	501	1472
127	504	1466
128	507	1459
129	510	1452
130	514	1448
131	516	1439
132	518	1429
133	519	1419
134	521	1411
135	524	1404
136	528	1399
137	530	1391
138	532	1382
139	534	1375
140	536	1365
141	538	1357
142	542	1354
143	546	1350
144	549	1345
145	552	1339
146	555	1333
147	557	1326
148	561	1322
149	564	1316
150	565	1307
151	568	1302
152	571	1295
153	574	1291
154	577	1284
155	581	1282
156	583	1274
157	586	1268
158	589	1263
159	591	1256
160	595	1253
161	597	1246
162	600	1240
163	602	1234
164	604	1228
165	607	1221
166	608	1213
167	610	1206
168	612	1200
169	618	1200
170	621	1195
171	623	1189
172	625	1182
173	628	1177
174	630	1170
175	632	1165
176	635	1159
177	637	1153
178	639	1146
179	641	1141
180	644	1136
181	646	1129
182	649	1125
183	652	1120
184	654	1115
185	657	1109
186	658	1102
187	664	1101
188	665	1095
189	667	1089
190	670	1085
191	673	1079
192	676	1076
193	679	1071
194	683	1069
195	685	1063
196	689	1060
197	691	1054
