Size,Bedrooms,Age,Price
2104,3,15,399900
1600,3,10,329900
2400,3,20,369000
1416,2,18,232000
3000,4,30,539900
1985,4,8,299900
1534,3,15,314900
1427,3,20,198999
1380,3,14,212000
1494,3,12,242500
1940,4,10,239999
2000,3,8,347000
1890,3,5,329999
4478,5,15,699900
1268,3,8,259900
2300,4,15,449900
1320,2,10,299900
1236,3,10,199900
2609,4,5,499998
3031,4,10,599000
1767,3,7,252900
1888,2,7,255000
1604,3,10,242900
1962,4,6,259900
3890,3,12,573900
1100,3,14,249900
1458,3,8,464500
2526,3,5,469000
2200,3,5,475000
2637,3,3,299900
